generator,level,run,completionPercentage,currentCoins,gameStatus,killsByStomp,maxJumpAirTime,maxXJump,numJumps,remainingTime,totalKills
lvl_5-1,lvl_5-1_best_level_5.txt,1,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,2,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,3,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,4,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,5,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,6,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,7,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,8,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,9,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_5.txt,10,1.0,0,WIN,7,22,250.90747,14,11480,7
lvl_5-1,lvl_5-1_best_level_7.txt,1,1.0,0,WIN,10,30,314.5868,11,11060,13
lvl_5-1,lvl_5-1_best_level_7.txt,2,1.0,0,WIN,8,48,504.81433,13,11060,12
lvl_5-1,lvl_5-1_best_level_7.txt,3,1.0,0,WIN,10,30,314.6015,11,11180,13
lvl_5-1,lvl_5-1_best_level_7.txt,4,1.0,0,WIN,10,30,314.5868,11,11060,13
lvl_5-1,lvl_5-1_best_level_7.txt,5,1.0,0,WIN,9,48,504.81458,12,11120,13
lvl_5-1,lvl_5-1_best_level_7.txt,6,1.0,0,WIN,10,30,314.6015,11,11180,13
lvl_5-1,lvl_5-1_best_level_7.txt,7,1.0,0,WIN,10,30,314.5868,11,11060,13
lvl_5-1,lvl_5-1_best_level_7.txt,8,1.0,0,WIN,10,30,314.5868,11,11060,13
lvl_5-1,lvl_5-1_best_level_7.txt,9,1.0,0,WIN,8,48,504.81433,13,11060,12
lvl_5-1,lvl_5-1_best_level_7.txt,10,1.0,0,WIN,10,30,314.5868,11,11060,13
lvl_5-1,lvl_5-1_best_level_0.txt,1,1.0,0,WIN,5,21,203.89758,12,11360,5
lvl_5-1,lvl_5-1_best_level_0.txt,2,1.0,0,WIN,5,21,203.89758,12,11360,5
lvl_5-1,lvl_5-1_best_level_0.txt,3,1.0,0,WIN,5,21,203.89758,12,11360,5
lvl_5-1,lvl_5-1_best_level_0.txt,4,1.0,0,WIN,5,21,205.6156,12,11360,5
lvl_5-1,lvl_5-1_best_level_0.txt,5,1.0,0,WIN,5,21,203.89758,12,11360,5
