generator,level,run,completionPercentage,currentCoins,gameStatus,killsByStomp,maxJumpAirTime,maxXJump,numJumps,remainingTime,totalKills
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,1,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,2,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,3,1.0,0,WIN,4,35,392.71667,16,10370,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,4,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,5,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,6,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,7,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,8,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,9,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_3_fitness_121.txt,10,1.0,0,WIN,4,35,392.71667,17,10340,4
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,1,1.0,0,WIN,3,21,217.13269,17,10070,3
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,2,1.0,0,WIN,5,21,239.89331,15,10100,5
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,3,1.0,0,WIN,5,21,239.89331,15,10100,5
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,4,1.0,0,WIN,5,21,239.89331,15,10100,5
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,5,1.0,0,WIN,2,21,211.77649,19,9950,2
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,6,1.0,0,WIN,3,21,217.13269,17,10070,3
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,7,1.0,0,WIN,5,21,239.89331,15,10100,5
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,8,1.0,0,WIN,5,21,239.89331,15,10100,5
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,9,1.0,0,WIN,2,21,199.32434,18,9620,2
lvl_5-1,lvl_5-1_level_8_fitness_120.txt,10,1.0,0,WIN,3,21,217.13269,17,10070,3
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,1,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,2,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,3,1.0,0,WIN,4,21,227.37521,16,10250,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,4,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,5,1.0,0,WIN,4,21,227.37521,16,10250,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,6,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,7,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,8,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,9,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_6_fitness_120.txt,10,1.0,0,WIN,4,21,227.37521,16,10160,5
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,1,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,2,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,3,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,4,1.0,0,WIN,5,33,369.51367,17,10580,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,5,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,6,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,7,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,8,1.0,0,WIN,5,33,370.9121,17,10640,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,9,1.0,0,WIN,5,33,370.9121,17,10640,6
lvl_5-1,lvl_5-1_level_1_fitness_122.txt,10,1.0,0,WIN,5,33,370.9121,16,10880,6
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,1,1.0,0,WIN,3,19,210.09766,19,9380,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,2,1.0,0,WIN,3,19,210.09766,19,9380,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,3,0.6023678,0,TIME_OUT,2,17,177.67249,38,0,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,4,1.0,0,WIN,3,19,210.09766,19,9380,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,5,1.0,0,WIN,5,26,228.6836,21,7280,7
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,6,1.0,0,WIN,3,19,210.09766,19,9380,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,7,1.0,0,WIN,5,26,225.24072,21,7100,7
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,8,1.0,0,WIN,4,26,228.6836,26,5960,6
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,9,0.60266495,0,TIME_OUT,2,17,177.67249,37,0,4
lvl_5-1,lvl_5-1_level_0_fitness_122.txt,10,1.0,0,WIN,3,19,210.09766,19,9380,4
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,1,1.0,0,WIN,7,54,596.0178,13,10670,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,2,1.0,0,WIN,7,54,596.0178,13,10670,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,3,0.40314317,0,LOSE,1,10,119.99426,6,15950,1
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,4,1.0,0,WIN,7,54,596.0178,13,10670,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,5,1.0,0,WIN,6,56,610.9885,14,10520,6
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,6,1.0,0,WIN,6,56,610.9885,14,10520,6
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,7,1.0,0,WIN,7,54,596.41675,14,10310,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,8,1.0,0,WIN,7,54,596.0178,13,10670,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,9,1.0,0,WIN,7,54,596.0178,13,10670,7
lvl_5-1,lvl_5-1_level_7_fitness_120.txt,10,1.0,0,WIN,6,56,610.9885,14,10520,6
lvl_5-1,lvl_5-1_level_2_fitness_121.txt,1,1.0,0,WIN,3,19,174.07996,16,9890,3
lvl_5-1,lvl_5-1_level_2_fitness_121.txt,2,1.0,0,WIN,3,19,174.07996,16,9890,3
